company_name_kr,ticker,industry,aliases
마이크로컨텍솔,098120,전기·전자,"(주)마이크로컨텍솔루션, Micro Contact Solution Co.,Ltd."
포스코엠텍,009520,금속,"(주)포스코엠텍, POSCO M-TECH CO.,LTD."
AJ네트웍스,095570,일반서비스,"AJ네트웍스보통주, AJ Networks Co.,Ltd."
AK홀딩스,006840,기타금융,"AK홀딩스보통주, AK Holdings, Inc."
BGF리테일,282330,유통,"BGF리테일보통주, BGF Retail"
BGF,027410,기타금융,"BGF보통주, BGF"
BNK금융지주,138930,기타금융,"BNK금융지주보통주, BNK Financial Group Inc."
BYC우,001465,섬유·의류,"BYC1우선주, BYC(1P)"
BYC,001460,섬유·의류,"BYC보통주, BYC"
CJ우,001045,기타금융,"CJ1우선주, CJ(1P)"
CJ4우(전환),00104K,기타금융,"CJ4우선주(전환), CJ(4PC)"
CJ,001040,기타금융,"CJ보통주, CJ Corp."
CJ씨푸드1우,011155,음식료·담배,"CJ씨푸드1우선주, CJSEAFOODCORPORATION(1P)"
CJ씨푸드,011150,음식료·담배,"CJ씨푸드보통주, CJSEAFOODCORPORATION"
CMG제약,058820,제약,"CMG제약, CMG Pharmaceutical Co., Ltd."
CS홀딩스,000590,기타금융,"CS홀딩스보통주, CSHOLDINGS"
DB,012030,IT 서비스,"DB Inc.보통주, DB Inc."
DB손해보험,005830,보험,"DB손해보험보통주, DB INSURANCE"
DB증권,016610,증권,"DB증권보통주, DB Securities"
DB하이텍,000990,전기·전자,"DB하이텍보통주, DB HiTek Co.,LTD"
DI동일,001530,유통,"DI동일보통주, DI DONGIL"
DL우,000215,화학,"DL1우선주, DL(1P)"
DL,000210,화학,"DL보통주, DL"
DL이앤씨우,37550K,건설,"DL이앤씨1우선주, DL E&C CO., LTD.(1P)"
DL이앤씨2우(전환),37550L,건설,"DL이앤씨2우선주(전환), DL E&C(2PC)"
DL이앤씨,375500,건설,"DL이앤씨보통주, DL E&C CO., LTD."
DSR,155660,금속,"DSR보통주, DSR CORP"
DSR제강,069730,금속,"DSR제강보통주, DSRWIRECORP"
DS단석,017860,화학,"DS단석보통주, DS Dansuk"
E1,017940,유통,"E1보통주, E1Corporation"
ESR켄달스퀘어리츠,365550,부동산,"ESR켄달스퀘어리츠보통주, ESR KENDALL SQUARE REIT"
ES큐브,050120,유통,"ES큐브, ES CUBE"
F&F,383220,섬유·의류,"F&F보통주, F&F"
F&F홀딩스,007700,기타금융,"F&F홀딩스, F&F Holdings"
GS우,078935,기타금융,"GS1우선주, GS Holdings(1P)"
GS건설,006360,건설,"GS건설보통주, GS Engineering & Construction Corp"
GS,078930,기타금융,"GS보통주, GS Holdings"
HDC,012630,기타금융,"HDC보통주, HDC HOLDINGS CO.,Ltd"
HDC현대산업개발,294870,건설,"HDC현대산업개발보통주, HYUNDAI DEVELOPMENT COMPANY"
HJ중공업,097230,건설,"HJ중공업보통주, HJ SHIPBUILDING & CONSTRUCTION"
HL D&I,014790,건설,"HL D&I보통주, HL D&I HALLA CORPORATION"
HLB이노베이션,024850,전기·전자,"HLB이노베이션, HLB innoVation"
HL만도,204320,운송장비·부품,"HL만도보통주, HL Mando"
HL홀딩스,060980,기타금융,"HL홀딩스보통주, HL Holdings Corporation"
HS애드,035000,일반서비스,"HS애드보통주, HS Ad"
IHQ,003560,오락·문화,"IHQ보통주, IHQ"
INVENI,015360,일반서비스,"INVENI보통주, INVENI"
JB금융지주,175330,기타금융,"JB금융지주보통주, JB Financial Group Co., Ltd."
JW생명과학,234080,제약,"JW생명과학보통주, JW LIFESCIENCE"
JW중외제약우,001065,제약,"JW중외제약1우선주, JWPHARMACEUTICAL(1P)"
JW중외제약2우B,001067,제약,"JW중외제약2우선주(신형), JWPHARMACEUTICAL(2PB)"
JW중외제약,001060,제약,"JW중외제약보통주, JWPHARMACEUTICAL"
JW홀딩스,096760,기타금융,"JW홀딩스 보통주, JW HOLDINGS CORPORATION"
KB금융,105560,기타금융,"KB금융지주 보통주, KB Financial Group"
KB스타리츠,432320,부동산,"KB스타리츠보통주, KB STAR REIT"
KB오토시스,024120,운송장비·부품,"KB오토시스, KB Autosys Co.,Ltd"
KCTC,009070,운송·창고,"KCTC 보통주, KCTC"
KD,044180,건설,"KD, KD Corporation"
KG모빌리티,003620,운송장비·부품,"KG모빌리티보통주, KG Mobility"
KG스틸,016380,금속,"KG스틸보통주, KG DONGBUSTEEL"
KG케미칼,001390,화학,"KG케미칼보통주, KG Chemical"
KH 필룩스,033180,전기·전자,"KH 필룩스보통주, KH FEELUX Co.,Ltd."
KISCO홀딩스,001940,금속,"KISCO홀딩스보통주, KISCO Holdings"
KPX케미칼,025000,화학,"KPX케미칼보통주, KPXCHEMICAL"
KPX홀딩스,092230,화학,"KPX홀딩스보통주, KPXHOLDINGS"
KR모터스,000040,운송장비·부품,"KR모터스보통주, KR MOTORS"
LF,093050,섬유·의류,"LF보통주, LF"
LG우,003555,기타금융,"LG1우선주, LG Corp.(1P)"
LG디스플레이,034220,전기·전자,"LG디스플레이보통주, LG Display"
LG,003550,기타금융,"LG보통주, LG Corp."
LG생활건강우,051905,화학,"LG생활건강1우선주, LG H&H(1P)"
LG생활건강,051900,화학,"LG생활건강보통주, LG H&H"
LG에너지솔루션,373220,전기·전자,"LG에너지솔루션보통주, LG Energy Solution"
LG유플러스,032640,통신,"LG유플러스보통주, LG Uplus"
LG이노텍,011070,전기·전자,"LG이노텍보통주, LG Innotek"
LG전자우,066575,전기·전자,"LG전자1우선주, LGELECTRONICS(1P)"
LG전자,066570,전기·전자,"LG전자보통주, LGELECTRONICS"
LG화학우,051915,화학,"LG화학1우선주, LGCHEM,LTD(1P)"
LG화학,051910,화학,"LG화학보통주, LGCHEM,LTD"
LIG넥스원,079550,금속,"LIG넥스원보통주, LIG Nex1 Co., Ltd."
LS ELECTRIC,010120,전기·전자,"LS ELECTRIC보통주, LS ELECTRIC"
LS네트웍스,000680,유통,"LS네트웍스보통주, LSNetworks"
LS,006260,기타금융,"LS보통주, LS"
LS에코에너지,229640,기타금융,"LS에코에너지보통주, LS Eco Energy"
LX세미콘,108320,전기·전자,"LX세미콘보통주, LX Semicon"
LX인터내셔널,001120,유통,"LX인터내셔널보통주, LX INTERNATIONAL CORP."
MDS테크,086960,IT 서비스,"MDS테크, MDS Tech"
MH에탄올,023150,음식료·담배,"MH에탄올보통주, MHETHANOL"
NAVER,035420,IT 서비스,"NAVER보통주, NAVER"
NHN,181710,IT 서비스,"NHN보통주, NHN"
NH프라임리츠,338100,부동산,"NH프라임리츠보통주, NH Prime REIT"
NICE,034310,일반서비스,"NICE보통주, NICEHoldings"
NICE인프라,063570,일반서비스,"NICE인프라, NICE Infra"
NI스틸,008260,금속,"NI스틸보통주, NI STEEL"
NPC우,004255,화학,"NPC1우선주, NPC(1P)"
NPC,004250,화학,"NPC보통주, NPC"
OCI,456040,화학,"OCI보통주, OCI"
S-Oil우,010955,화학,"S-Oil1우선주, S-Oil(1P)"
S-Oil,010950,화학,"S-Oil보통주, S-OilCorporation"
SGC에너지,005090,전기·가스,"SGC에너지보통주, SGC Energy"
SG글로벌,001380,운송장비·부품,"SG글로벌보통주, SG GLOBAL"
SHD,001770,금속,"SHD보통주, SHIN HWA DYNAMICS"
SH에너지화학,002360,화학,"SH에너지화학보통주, SH ENERGY & CHEMICAL"
SIMPAC,009160,금속,"SIMPAC보통주, SIMPACInc"
SJM,123700,운송장비·부품,"SJM보통주, SJM CO.,LTD"
SJM홀딩스,025530,유통,"SJM홀딩스보통주, SJM HOLDINGS"
SK우,03473K,기타금융,"SK1우선주, SK(1P)"
SKC,011790,화학,"SKC보통주, SKC"
SK가스,018670,유통,"SK가스보통주, SKGas"
SK네트웍스,001740,유통,"SK네트웍스보통주, SKNetworksCo.,Ltd"
SK디앤디,210980,부동산,"SK디앤디보통주, SK D&D Co., Ltd"
SK리츠,395400,부동산,"SK리츠보통주, SK REIT"
SK,034730,기타금융,"SK보통주, SK"
SK스퀘어,402340,기타금융,"SK스퀘어보통주, SKSQUARE"
SK아이이테크놀로지,361610,전기·전자,"SK아이이테크놀로지보통주, SK ie technology"
SK오션플랜트,100090,금속,"SK오션플랜트보통주, SKoceanplant"
SK이노베이션우,096775,화학,"SK이노베이션 1우선주, SK Innovation(1P)"
SK이노베이션,096770,화학,"SK이노베이션 보통주, SK Innovation"
SK증권우,001515,증권,"SK증권1우선주, SKSecurities(1P)"
SK증권,001510,증권,"SK증권보통주, SKSecurities"
SK케미칼우,28513K,화학,"SK케미칼1우선주, SKCHEMICALS(1P)"
SK케미칼,285130,화학,"SK케미칼보통주, SKCHEMICALS"
SK텔레콤,017670,통신,"SK텔레콤보통주, SKTelecom"
SNT다이내믹스,003570,운송장비·부품,"SNT다이내믹스보통주, SNT DYNAMICS"
SNT모티브,064960,운송장비·부품,"SNT모티브보통주, SNT MOTIV"
SNT에너지,100840,기계·장비,"SNT에너지보통주, SNTEnergy Co.,Ltd."
SNT홀딩스,036530,기타금융,"SNT홀딩스보통주, SNT Holdings"
SPC삼립,005610,음식료·담배,"SPC삼립보통주, SPC SAMLIP"
STX그린로지스,465770,운송·창고,"STX그린로지스보통주, STX Green Logis"
STX,011810,유통,"STX보통주, STX"
STX엔진,077970,기계·장비,"STX엔진보통주, STXEngineCo.,Ltd"
TBH글로벌,084870,섬유·의류,"TBH글로벌보통주, TBH GLOBAL"
TCC스틸,002710,금속,"TCC스틸보통주, TCC STEEL"
WISCOM,024070,화학,"WISCOM보통주, WISCOM"
가비아,079940,IT 서비스,"가비아, GABIA, Inc."
가온그룹,078890,전기·전자,"가온그룹, KAON Group"
가온전선,000500,전기·전자,"가온전선보통주, GAONCABLE"
가온칩스,399720,전기·전자,"가온칩스, GAONCHIPS CO., LTD."
감성코퍼레이션,036620,유통,"감성코퍼레이션, GAMSUNG Corporation"
강남제비스코,000860,화학,"강남제비스코보통주, KANGNAM JEVISCO"
강동씨앤엘,198440,비금속,"강동씨앤엘, KANGDONG C&L"
강스템바이오텍,217730,제약,"강스템바이오텍, KANGSTEM BIOTECH CO., LTD."
강원랜드,035250,오락·문화,"강원랜드보통주, Kangwon Land, Inc."
강원에너지,114190,전기·전자,"강원에너지, KANGWON ENERGY"
갤럭시아머니트리,094480,IT 서비스,"갤럭시아머니트리, GalaxiaMoneytree Co.,Ltd."
갤럭시아에스엠,011420,오락·문화,"갤럭시아에스엠보통주, GALAXIA SM"
경남스틸,039240,금속,"경남스틸, Kyeong Nam Steel Co., LTD"
경남제약,053950,제약,"경남제약, KYUNG NAM PHARM.CO.,LTD."
경농,002100,화학,"경농보통주, Kyungnong"
경동나비엔,009450,전기·전자,"경동나비엔보통주, KYUNGDONGNAVIEN"
경동도시가스,267290,전기·가스,"경동도시가스보통주, KYUNGDONG CITY GAS"
경동인베스트,012320,기타금융,"경동인베스트보통주, KYUNGDONG INVEST"
경동제약,011040,제약,"경동제약, KyungdongPharm"
